,"2223-No entregados","2223-No superados","2223-total","2122-No entregados","2122-No superados","2122-total"
"0 → 1 "," 7.69"," 9.30"," 16.28"," 10.87"," 6.12"," 10.20"
"1 → 2 "," 6.25"," 11.11"," 22.22"," 2.44"," 0.00"," 9.76"
"2 → 3 "," 0.00"," 20.00"," 0.00"," 2.70"," 7.50"," 2.50"
"3 → 4 "," 8.33"," 0.00"," 33.33"," 11.11"," 5.26"," 13.16"
"4 → 5 "," 12.50"," 27.27"," 9.09"," 9.09"," 8.33"," 11.11"
"5 → 6 "," 50.00"," 0.00"," 64.29"," 9.68"," 8.82"," 2.94"
"6 → 7 "," 40.00"," 28.57"," 28.57"," 62.50"," 5.88"," 61.76"
"7 → 8 "," 66.67"," 0.00"," 66.67"," 63.64"," 8.33"," 66.67"
"8 → 9 "," 200.00"," 0.00"," 200.00"," 33.33"," 25.00"," 25.00"
